high_school,romanian_grade,county,specialisation,profile_exam_name,profile_exam_grade,optional_exam_name,optional_exam_grade,passed
" LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS",9.6, AR, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.9,True
" COLEGIUL NATIONAL ""TRAIAN""",10.0, MH, FILOLOGIE, ISTORIE,10.0, ECONOMIE,9.5,True
" COLEGIUL NATIONAL ""GH. ROSCA CODREANU"", MUN. BARLAD",9.55, VS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.95, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""NICOLAE BALCESCU"" BRAILA",10.0, BR, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85, FIZICA TEO,9.65,True
" COLEGIUL NATIONAL ""GHEORGHE TITEICA""",9.8, MH, FILOLOGIE, ISTORIE,9.9," LOGICA, ARGUMENTARE SI COMUNICARE",9.8,True
" LICEUL TEORETIC ""GRIGORE MOISIL"" TULCEA",9.55, TL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.95," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" LICEUL ""SIMION MEHEDINTI"" VIDRA",9.5, VN, STIINTE SOCIALE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""BARBU STIRBEI"" CALARASI",9.5, CL, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""PETRU RARES"", MUNICIPIUL PIATRA-NEAMT",9.5, NT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""UNIREA"" TURNU MAGURELE",9.6, TR, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""JEAN MONNET"", MUNICIPIUL PLOIESTI",9.5, PH, INVATATOR - EDUCATOARE, MATEMATICA PED,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
 COLEGIUL NATIONAL Ă˘â‚¬â„˘MIRCEA CEL BATRANĂ˘â‚¬â„˘ CONSTANTA,9.5, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"" SLOBOZIA",9.8, IL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.9,True
" COLEGIUL NATIONAL ""MATEI BASARAB""",9.6, B, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,9.9,True
" COLEGIUL NATIONAL ""FERDINAND I"" BACAU",9.5, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE SINCAI""",9.8, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.7,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.6, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE SINCAI""",10.0, B, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,9.5,True
" LICEUL TEORETIC ""NEAGOE BASARAB"" OLTENITA",9.5, CL, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",9.5, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL MILITAR ""STEFAN CEL MARE"" CAMPULUNG MOLDOVENESC",9.6, SV, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""IENACHITA VACARESCU"" TARGOVISTE",9.5, DB, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"", MUNICIPIUL PLOIESTI",9.6, PH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, BIOLOGIE VEGETALA SI ANIMALA,9.9,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.85, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.8,True
" COLEGIUL NATIONAL ""LIVIU REBREANU"" BISTRITA",9.5, BN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""CAROL I"" CRAIOVA",9.85, DJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.8,True
" COLEGIUL NATIONAL DE INFORMATICA MATEI BASARAB, MUN. RM. VALCEA",9.8, VL, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""MOISE NICOARA"" ARAD",10.0, AR, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,9.5,True
" COLEGIUL NATIONAL ""SPIRU HARET"" TG-JIU",9.8, GJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" LICEUL TEORETIC ""PETRE PANDREA"" BALS",9.8, OT, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,9.7,True
" LICEUL TEORETIC ""EMIL RACOVITA"", MUN. VASLUI",9.6, VS, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",9.9,True
" COLEGIUL NATIONAL BILINGV ""GEORGE COSBUC""",9.8, B, FILOLOGIE, ISTORIE,10.0, PSIHOLOGIE,9.7,True
" COLEGIUL NATIONAL ""FRATII BUZESTI"" CRAIOVA",9.7, DJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.8,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.6, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""SPIRU HARET"" TG-JIU",9.7, GJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.95,True
" COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA",9.8, AB, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.7, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""COSTACHE NEGRUZZI"", IASI",10.0, IS, FILOLOGIE, ISTORIE,9.5, GEOGRAFIE,10.0,True
" LICEUL DE ARTE ""IONEL PERLEA"" SLOBOZIA",10.0, IL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.5,True
" COLEGIUL NATIONAL ""VLADIMIR STREINU"" GAESTI",9.8, DB, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.7, BIOLOGIE VEGETALA SI ANIMALA,10.0,True
" COLEGIUL NATIONAL ""EMANUIL GOJDU"" ORADEA",10.0, BH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.7,True
 COLEGIUL NATIONAL BANATEAN MUN.TIMISOARA,9.7, TM, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",9.8,True
" COLEGIUL NATIONAL Ă˘â‚¬ĹľTRAIAN LALESCU"" RESITA",9.9, CS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, BIOLOGIE VEGETALA SI ANIMALA,9.6,True
" COLEGIUL NATIONAL, IASI",10.0, IS, FILOLOGIE, ISTORIE,9.5," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL TEHNOLOGIC ""SCOALA NATIONALA DE GAZ"" MEDIAS",9.7, SB, TEHNICIAN IN ACTIVITATI ECONOMICE, MATEMATICA TEHN,10.0, GEOGRAFIE,9.8,True
" LICEUL TEORETIC ""GRIGORE MOISIL"" MUN.TIMISOARA",9.6, TM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.9,True
" COLEGIUL NATIONAL ""O.GOGA"" SIBIU",9.7, SB, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.95, BIOLOGIE VEGETALA SI ANIMALA,9.85,True
" COLEGIUL NATIONAL ""PETRU RARES"" SUCEAVA",10.0, SV, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8, INFORMATICA MI C/C++,9.7,True
" COLEGIUL NATIONAL ""SPIRU HARET"", LOCALITATEA TECUCI",9.6, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL, IASI",9.8, IS, FILOLOGIE, ISTORIE,9.9, FILOSOFIE,9.8,True
" COLEGIUL NATIONAL Ă˘â‚¬ĹľTRAIAN LALESCU"" RESITA",9.5, CS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL, IASI",9.5, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""EUDOXIU HURMUZACHI"" RADAUTI",9.9, SV, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.9," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.7,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.5, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""TUDOR VLADIMIRESCU"" TG-JIU",9.8, GJ, FILOLOGIE, ISTORIE,9.7, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.5, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""INOCHENTIE MICU CLAIN"" BLAJ",9.8, AB, FILOLOGIE, ISTORIE,9.7, GEOGRAFIE,10.0,True
" LICEUL TEORETIC ""MIRON COSTIN"", PASCANI",9.8, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""SILVANIA"" ZALAU",10.0, SJ, FILOLOGIE, ISTORIE,10.0, SOCIOLOGIE,9.5,True
" COLEGIUL NATIONAL ""EMANUIL GOJDU"" ORADEA",9.8, BH, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.9, CHIMIE ORGANICA TEO NIVEL I/II,9.8,True
" COLEGIUL NATIONAL ""GH.LAZAR"" SIBIU",9.55, SB, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ANORGANICA TEO NIVEL I/II,9.95,True
" COLEGIUL NATIONAL ""MOISE NICOARA"" ARAD",9.5, AR, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""DOAMNA STANCA"" SATU MARE",9.5, SM, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""MATEI BASARAB""",9.8, B, FILOLOGIE, ISTORIE,10.0, SOCIOLOGIE,9.7,True
" COLEGIUL NATIONAL ""ELENA CUZA"" CRAIOVA",9.6, DJ, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",9.9,True
" COLEGIUL NATIONAL""GRIGORE MOISIL"" URZICENI",9.5, IL, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",9.5, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""VLADIMIR STREINU"" GAESTI",9.85, DB, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.65, BIOLOGIE VEGETALA SI ANIMALA,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.8, B, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.8, CHIMIE ORGANICA TEO NIVEL I/II,9.9,True
" LICEUL TEORETIC ""MIHAI VITEAZUL"" CARACAL",10.0, OT, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,9.5,True
" LICEUL TEOLOGIC BAPTIST ""EMANUEL"" ORADEA",9.5, BH, TEOLOGIE BAPTISTA, ISTORIE,10.0, GEOGRAFIE,10.0,True
 SCOALA CENTRALA,9.5, B, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL TEORETIC ""NICOLAE IORGA"" BRAILA",9.75, BR, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.5, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL DE INFORMATICA ""TUDOR VIANU""",9.8, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""FERDINAND I"" BACAU",10.0, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.5,True
" COLEGIUL NATIONAL ""EMANUIL GOJDU"" ORADEA",9.75, BH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.75,True
" COLEGIUL NATIONAL ""GARABET IBRAILEANU"", IASI",9.8, IS, FILOLOGIE, ISTORIE,9.7, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""ION MINULESCU"" SLATINA",9.7, OT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.8,True
" COLEGIUL NATIONAL ""GEORGE COSBUC"" CLUJ-NAPOCA",9.5, CJ, STIINTE SOCIALE, ISTORIE,10.0, FILOSOFIE,10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU"", IASI",9.5, IS, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""SILVANIA"" ZALAU",9.9, SJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.6,True
" COLEGIUL NATIONAL ""LIVIU REBREANU"" BISTRITA",9.9, BN, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.6,True
" COLEGIUL NATIONAL ""NICOLAE BALCESCU"" BRAILA",9.5, BR, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""SILVANIA"" ZALAU",9.7, SJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
 COLEGIUL DE STIINTE ALE NATURII 'EMIL RACOVITA' BRASOV,9.7, BV, STIINTE SOCIALE, ISTORIE,9.8," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL, IASI",9.5, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""ROMAN VODA"", MUNICIPIUL ROMAN",10.0, NT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8, INFORMATICA MI C/C++,9.7,True
" LICEUL TEORETIC ""CAROL I"" FETESTI",9.5, IL, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" LICEUL ""REGINA MARIA"" DOROHOI",10.0, BT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.5,True
" COLEGIUL ECONOMIC ""NICOLAE TITULESCU"" BAIA MARE",9.5, MM, TEHNICIAN IN ACTIVITATI ECONOMICE, MATEMATICA TEHN,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL TEORETIC ""AVRAM IANCU"" CLUJ-NAPOCA",9.7, CJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,9.8,True
" COLEGIUL NATIONAL ""DECEBAL"" DEVA",9.5, HD, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""SILVANIA"" ZALAU",10.0, SJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.5," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""ALEXANDRU IOAN CUZA"", MUNICIPIUL PLOIESTI",9.8, PH, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,9.7,True
" COLEGIUL NATIONAL ""ALEXANDRU IOAN CUZA"" ALEXANDRIA",10.0, TR, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8, FIZICA TEO,9.7,True
" COLEGIUL NATIONAL ""MIHAIL KOGALNICEANU"", LOCALITATEA GALATI",9.6, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
 LICEUL TEORETIC Ă˘â‚¬â„˘OVIDIUSĂ˘â‚¬â„˘ CONSTANTA,9.5, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"", MUNICIPIUL PLOIESTI",9.7, PH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",9.5, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI",9.5, VS, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""AL.D. GHICA"" ALEXANDRIA",9.8, TR, FILOLOGIE, ISTORIE,9.7, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""STEFAN CEL MARE"", ORAS TARGU NEAMT",9.5, NT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""EMIL RACOVITA"", IASI",9.6, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, CHIMIE ANORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL DE INFORMATICA MATEI BASARAB, MUN. RM. VALCEA",9.6, VL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""ION C. BRATIANU"" PITESTI",9.5, AG, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""B. P. HASDEU"" MUNICIPIUL BUZAU",9.5, BZ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",9.8, B, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,9.7,True
" COLEGIUL NATIONAL PEDAGOGIC ""GHEORGHE LAZAR"" CLUJ-NAPOCA",9.5, CJ, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""CONSTANTIN DIACONOVICI LOGA"" MUN.TIMISOARA",9.8, TM, STIINTE SOCIALE, ISTORIE,9.9," LOGICA, ARGUMENTARE SI COMUNICARE",9.8,True
" COLEGIUL NATIONAL ""DINICU GOLESCU"" CAMPULUNG",9.85, AG, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.65, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",10.0, GL, STIINTE SOCIALE, ISTORIE,9.7," LOGICA, ARGUMENTARE SI COMUNICARE",9.8,True
" COLEGIUL NATIONAL ""ZINCA GOLESCU"" PITESTI",9.8, AG, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.7, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL DE INFORMATICA ""TUDOR VIANU""",9.5, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
 COLEGIUL NATIONAL Ă˘â‚¬â„˘MIRCEA CEL BATRANĂ˘â‚¬â„˘ CONSTANTA,9.5, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",9.5, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL, IASI",9.5, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""COSTACHE NEGRUZZI"", IASI",10.0, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.7," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.8,True
" COLEGIUL NATIONAL ""MATEI BASARAB""",9.5, B, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" LICEUL DE ARTE ""CONSTANTIN BRAILOIU"" TG-JIU",9.7, GJ, MUZICA, ISTORIE,9.8, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE VRANCEANU"" BACAU",9.5, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""OCTAVIAN GOGA"" MARGHITA",9.5, BH, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",9.5, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
 COLEGIUL NATIONAL Ă˘â‚¬â„˘MIRCEA CEL BATRANĂ˘â‚¬â„˘ CONSTANTA,9.85, CT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.65,True
" COLEGIUL NATIONAL ""TUDOR VLADIMIRESCU"" TG-JIU",9.5, GJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""SPIRU HARET""",9.5, B, STIINTE SOCIALE, ISTORIE,10.0, SOCIOLOGIE,10.0,True
" COLEGIUL NATIONAL ""ALEXANDRU IOAN CUZA"", MUNICIPIUL PLOIESTI",9.5, PH, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""GRIGORE MOISIL""",9.55, B, FILOLOGIE, ISTORIE,9.95, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""COSTACHE NEGRUZZI"", IASI",9.7, IS, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,9.8,True
" LICEUL TEORETIC ""APACZAI CSERE JANOS"" CLUJ-NAPOCA",9.35, CJ, FILOLOGIE, ISTORIE,10.0, FILOSOFIE,10.0,True
" COLEGIUL NATIONAL ""GARABET IBRAILEANU"", IASI",9.5, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""TUDOR VLADIMIRESCU"" TG-JIU",9.8, GJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75, FIZICA TEO,9.95,True
" COLEGIUL NATIONAL ""DIMITRIE CANTEMIR"" ONESTI",9.9, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.6,True
" LICEUL ""REGINA MARIA"" DOROHOI",9.5, BT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL""",9.85, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75, CHIMIE ORGANICA TEO NIVEL I/II,9.9,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU"", IASI",9.6, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.9," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""SPIRU HARET"", LOCALITATEA TECUCI",9.8, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.7,True
" LICEUL TEORETIC ""ALEXANDRU MARGHILOMAN"" MUNICIPIUL BUZAU",10.0, BZ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85, FIZICA TEO,9.65,True
" COLEGIUL NATIONAL DE INFORMATICA ""TUDOR VIANU""",9.65, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.85,True
" COLEGIUL NATIONAL ""UNIREA"" FOCSANI",9.85, VN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, INFORMATICA MI C/C++,9.75,True
" COLEGIUL NATIONAL ""EMIL RACOVITA"", IASI",10.0, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.7, CHIMIE ORGANICA TEO NIVEL I/II,9.8,True
